model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
llama,livecodebench,0,0.003343944437801838,1303,static_3_1_4,65.46026864143349,1.0857142857142856,65.46026864143349,55.01769682160521,55.837732196931654,61.09454417683134,1.0857142857142856,1.0879120879120878,1.1349206349206349,1.5491891891891891
llama,livecodebench,1,0.014272972010076046,1303,static_6_10_60,111.23767094121291,2.8206806282722514,71.66826829908682,71.69960588257588,72.68855965758024,111.23767094121291,1.1886792452830188,1.4177777777777778,1.4774193548387098,2.8206806282722514
llama,livecodebench,2,0.030947431921958923,1302,static_6_10_60,138.71891537889957,3.5175292153589317,82.1279615103049,76.87595810714636,83.4158212902541,138.71891537889957,1.3621621621621622,1.5201342281879195,1.6954545454545455,3.5175292153589317
llama,livecodebench,3,0.0552188865840435,1303,static_6_10_60,202.78229950835436,5.142,83.55234662956146,93.62421918415812,94.84501072095476,202.78229950835436,1.385786802030457,1.8513119533527698,1.9277566539923954,5.142
llama,livecodebench,4,0.09104469418525696,1302,static_6_10_60,238.57516401602174,6.049608355091384,96.95363675300035,113.82181739115356,110.22785475819325,238.57516401602174,1.6080586080586081,2.2506963788300838,2.240418118466899,6.049608355091384
llama,livecodebench,5,0.14453649520874023,1303,static_6_10_60,140.84451541114794,3.5714285714285716,112.94873460211235,129.7793987596058,130.56838185049054,140.84451541114794,1.8733509234828496,2.5662393162393164,2.6538461538461537,3.5714285714285716
llama,livecodebench,6,0.22600533068180084,1302,static_7_1_8,169.78521325502143,3.3573085846867747,130.0314334643076,169.78521325502143,165.195161241838,115.02302091910414,2.1566820276497696,3.3573085846867747,3.357647058823529,2.9166666666666665
llama,livecodebench,7,0.34634268283843994,1303,static_7_1_8,233.61983142024394,4.619565217391305,146.7987717817044,233.61983142024394,214.51060531263198,118.30939294536427,2.4347826086956523,4.619565217391305,4.36,3.0
llama,livecodebench,8,0.5181053280830383,1302,static_7_4_8,247.95335476473804,5.039735099337748,194.74353310467257,245.59999840160293,247.95335476473804,78.87292863024284,3.229987293519695,4.856459330143541,5.039735099337748,2.0
llama,livecodebench,9,0.8281662464141846,1303,static_7_1_8,354.6483540486779,7.012765957446809,221.07195988554292,354.6483540486779,343.774980062051,,3.6666666666666665,7.012765957446809,6.987341772151899,
llama,math500,0,0.020105667412281036,1302,static_6_10_60,142.82527014127405,3.5514018691588785,74.40400053849118,77.30175100548631,80.34525732484207,142.82527014127405,1.3539823008849559,1.5070422535211268,1.6083333333333334,3.5514018691588785
llama,math500,1,0.045412614941596985,1301,static_6_10_60,164.02142404219487,4.078451882845188,81.64293317725007,105.22533144880325,107.40454087984068,164.02142404219487,1.4857142857142858,2.0514285714285716,2.15,4.078451882845188
