model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
llama,livecodebench,0,0.2139420211315155,1303,static_3_1_4,68.06198577544598,1.1288659793814433,68.06198577544598,56.46032219142592,60.132942365926404,49.14793972050906,1.1288659793814433,1.1164383561643836,1.2222222222222223,1.2462562396006656
llama,livecodebench,1,0.33353736996650696,1303,static_6_10_60,76.44803276620625,1.9385113268608414,73.21214255949798,64.78082377139417,74.21088873922021,76.44803276620625,1.2142857142857142,1.2809667673716012,1.508361204013378,1.9385113268608414
llama,livecodebench,2,0.4553867280483246,1302,static_6_10_60,100.06667475877748,2.5374149659863945,89.13491060741424,81.58147843076323,91.93019814356788,100.06667475877748,1.4783783783783784,1.6131805157593124,1.8685121107266436,2.5374149659863945
llama,livecodebench,3,0.5894931554794312,1303,static_6_10_60,118.70244740697676,3.009966777408638,105.9280008693159,102.50635843732634,114.63847033931958,118.70244740697676,1.7569060773480663,2.0269461077844313,2.3300653594771243,3.009966777408638
llama,livecodebench,4,0.7137696146965027,1302,static_3_1_4,122.45291913762595,2.0309859154929577,122.45291913762595,115.19137308721047,122.13906602615056,116.08597210860667,2.0309859154929577,2.2777777777777777,2.4825174825174825,2.943620178041543
llama,livecodebench,5,0.8155083656311035,1303,static_3_1_4,153.76445923428415,2.550314465408805,153.76445923428415,153.4249370435357,142.03265318614135,150.8777089808859,2.550314465408805,3.0338028169014084,2.886861313868613,3.8258426966292136
llama,livecodebench,6,0.8784042596817017,1302,static_7_4_8,198.01998912570537,4.024822695035461,172.78412484037858,191.1905944958631,198.01998912570537,184.2144752017158,2.865771812080537,3.7805755395683454,4.024822695035461,4.671171171171171
llama,livecodebench,7,0.9238553047180176,1303,static_7_4_8,231.10461987201583,4.697278911564626,197.0530551529673,227.4918953087706,231.10461987201583,216.47421357840975,3.268292682926829,4.498392282958199,4.697278911564626,5.489189189189189
llama,livecodebench,8,0.9617286324501038,1302,static_7_1_8,258.8193621438595,5.117857142857143,198.7318749809953,258.8193621438595,241.87626522667838,251.6724900110168,3.296137339055794,5.117857142857143,4.916216216216216,6.381720430107527
llama,livecodebench,9,0.9956377148628235,1303,static_7_1_8,332.5480438127451,6.575757575757576,224.9550182837224,332.5480438127451,318.50319234009817,236.61878589072853,3.731070496083551,6.575757575757576,6.473684210526316,6.0
llama,math500,0,0.33922699093818665,1302,static_6_10_60,99.66719938119341,2.4782608695652173,80.28911208356928,83.14976345243358,92.1326471215178,99.66719938119341,1.4610778443113772,1.6210526315789473,1.8442906574394464,2.4782608695652173
llama,math500,1,0.5034714937210083,1301,static_6_10_60,148.83304673445238,3.7007874015748032,100.10170445173229,101.89978758110898,122.095431263344,148.83304673445238,1.8216216216216217,1.9865951742627346,2.4440789473684212,3.7007874015748032
llama,math500,2,0.6245784759521484,1301,static_6_10_60,165.0656794655346,4.104417670682731,121.07304896595011,122.85664934072126,145.69044878189712,165.0656794655346,2.203252032520325,2.3951612903225805,2.9163987138263665,4.104417670682731
llama,math500,3,0.7409906387329102,1301,static_6_10_60,170.32025660160082,4.235074626865671,133.21690728222623,151.79352203799553,166.0640095514959,170.32025660160082,2.4242424242424243,2.9593023255813953,3.324232081911263,4.235074626865671
