model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,al_static_3_1_4,tput_static_7_1_8,al_static_7_1_8,tput_static_7_4_8,al_static_7_4_8,tput_static_6_10_60,al_static_6_10_60
llama,livecodebench,0,0.05265011987648904,1303,static_3_1_4,66.36205263190185,1.1006711409395973,66.36205263190185,1.1006711409395973,53.58838717176518,1.0596491228070175,59.11897046386166,1.2016129032258065,48.62716574449294,1.2330508474576272
llama,livecodebench,1,0.1732224691659212,1302,static_7_4_8,75.64032453450481,1.5374149659863945,75.3184842090932,1.249221183800623,64.67063340505918,1.2787878787878788,75.64032453450481,1.5374149659863945,68.26816511693288,1.73109243697479
llama,livecodebench,2,0.34502108395099645,1303,static_7_4_8,98.56557537068464,2.0033783783783785,92.78323164893241,1.538888888888889,83.99572789454287,1.660919540229885,98.56557537068464,2.0033783783783785,98.26142446409852,2.491638795986622
llama,livecodebench,3,0.5288549065589905,1302,static_6_10_60,115.99715725262097,2.9413680781758957,109.48693717608182,1.815934065934066,105.05694043755172,2.0773809523809526,113.24265355876,2.301694915254237,115.99715725262097,2.9413680781758957
llama,livecodebench,4,0.7030991315841675,1302,static_3_1_4,131.63559483505742,2.183288409703504,131.63559483505742,2.183288409703504,110.51478106831881,2.1853035143769968,123.83027597160212,2.516891891891892,115.98239660378879,2.940993788819876
llama,livecodebench,5,0.8555221259593966,1304,static_3_1_4,154.27286068442822,2.558746736292428,154.27286068442822,2.558746736292428,150.26225370753863,2.971264367816092,153.30099003522898,3.115894039735099,134.17129187653853,3.4022140221402215
llama,livecodebench,6,0.9507413506507876,1302,static_3_1_4,185.3021848915518,3.073394495412844,185.3021848915518,3.073394495412844,177.2550829526991,3.5050167224080266,183.82483222012183,3.7363013698630136,161.47439570482442,4.094545454545455
llama,livecodebench,7,0.9879185855388641,1302,static_7_1_8,221.82225318458157,4.386281588447654,201.92925724807745,3.34916864608076,221.82225318458157,4.386281588447654,219.4518105963828,4.460431654676259,178.79476766180815,4.533742331288344
llama,livecodebench,8,0.9972715377807617,1303,static_7_4_8,268.75525588656416,5.462540716612378,214.62158439816633,3.559681697612732,267.4278154389398,5.288079470198675,268.75525588656416,5.462540716612378,209.24963084553383,5.305993690851735
llama,livecodebench,9,0.9996478259563446,1303,static_7_1_8,333.4128000820409,6.5928571428571425,230.09530518699364,3.816326530612245,333.4128000820409,6.5928571428571425,325.00518617814896,6.605839416058394,256.56541455976674,6.505791505791506
