model,dataset,config,decile,signal_mid,overspend,underspend,mean_al,n
llama,livecodebench,static_3_1_4,0,0.2139420211315155,0.0,0.09278350515463918,1.1288659793814433,194
llama,livecodebench,static_7_1_8,0,0.2139420211315155,6.883561643835616,0.0,1.1164383561643836,292
llama,livecodebench,static_7_4_8,0,0.2139420211315155,6.777777777777778,0.0,1.2222222222222223,216
llama,livecodebench,static_6_10_60,0,0.2139420211315155,58.75374376039933,0.004991680532445923,1.2462562396006656,601
llama,livecodebench,static_3_1_4,1,0.33353736996650696,0.0,0.1401098901098901,1.2142857142857142,364
llama,livecodebench,static_7_1_8,1,0.33353736996650696,6.719033232628399,0.006042296072507553,1.2809667673716012,331
llama,livecodebench,static_7_4_8,1,0.33353736996650696,6.491638795986622,0.0033444816053511705,1.508361204013378,299
llama,livecodebench,static_6_10_60,1,0.33353736996650696,58.06148867313916,0.042071197411003236,1.9385113268608414,309
llama,livecodebench,static_3_1_4,2,0.4553867280483246,0.0,0.2918918918918919,1.4783783783783784,370
llama,livecodebench,static_7_1_8,2,0.4553867280483246,6.386819484240688,0.017191977077363897,1.6131805157593124,349
llama,livecodebench,static_7_4_8,2,0.4553867280483246,6.131487889273356,0.010380622837370242,1.8685121107266436,289
llama,livecodebench,static_6_10_60,2,0.4553867280483246,57.46258503401361,0.08843537414965986,2.5374149659863945,294
llama,livecodebench,static_3_1_4,3,0.5894931554794312,0.0,0.43646408839779005,1.7569060773480663,362
llama,livecodebench,static_7_1_8,3,0.5894931554794312,5.973053892215569,0.05389221556886228,2.0269461077844313,334
llama,livecodebench,static_7_4_8,3,0.5894931554794312,5.669934640522876,0.032679738562091505,2.3300653594771243,306
llama,livecodebench,static_6_10_60,3,0.5894931554794312,56.990033222591364,0.16279069767441862,3.009966777408638,301
llama,livecodebench,static_3_1_4,4,0.7137696146965027,0.0,0.5633802816901409,2.0309859154929577,355
llama,livecodebench,static_7_1_8,4,0.7137696146965027,5.722222222222222,0.07407407407407407,2.2777777777777777,324
llama,livecodebench,static_7_4_8,4,0.7137696146965027,5.5174825174825175,0.038461538461538464,2.4825174825174825,286
llama,livecodebench,static_6_10_60,4,0.7137696146965027,57.05637982195846,0.14836795252225518,2.943620178041543,337
llama,livecodebench,static_3_1_4,5,0.8155083656311035,0.0,0.7767295597484277,2.550314465408805,318
llama,livecodebench,static_7_1_8,5,0.8155083656311035,4.966197183098592,0.14366197183098592,3.0338028169014084,355
llama,livecodebench,static_7_4_8,5,0.8155083656311035,5.113138686131387,0.072992700729927,2.886861313868613,274
llama,livecodebench,static_6_10_60,5,0.8155083656311035,56.174157303370784,0.31179775280898875,3.8258426966292136,356
llama,livecodebench,static_3_1_4,6,0.8784042596817017,0.0,0.8657718120805369,2.865771812080537,298
llama,livecodebench,static_7_1_8,6,0.8784042596817017,4.219424460431655,0.23741007194244604,3.7805755395683454,278
llama,livecodebench,static_7_4_8,6,0.8784042596817017,3.975177304964539,0.2624113475177305,4.024822695035461,282
llama,livecodebench,static_6_10_60,6,0.8784042596817017,55.328828828828826,0.4572072072072072,4.671171171171171,444
llama,livecodebench,static_3_1_4,7,0.9238553047180176,0.0,0.9542682926829268,3.268292682926829,328
llama,livecodebench,static_7_1_8,7,0.9238553047180176,3.5016077170418005,0.36012861736334406,4.498392282958199,311
llama,livecodebench,static_7_4_8,7,0.9238553047180176,3.302721088435374,0.36054421768707484,4.697278911564626,294
llama,livecodebench,static_6_10_60,7,0.9238553047180176,54.51081081081081,0.6351351351351351,5.489189189189189,370
llama,livecodebench,static_3_1_4,8,0.9617286324501038,0.0,0.9420600858369099,3.296137339055794,466
llama,livecodebench,static_7_1_8,8,0.9617286324501038,2.882142857142857,0.42142857142857143,5.117857142857143,280
llama,livecodebench,static_7_4_8,8,0.9617286324501038,3.0837837837837836,0.36486486486486486,4.916216216216216,370
llama,livecodebench,static_6_10_60,8,0.9617286324501038,53.61827956989247,0.8817204301075269,6.381720430107527,186
llama,livecodebench,static_3_1_4,9,0.9956377148628235,0.0,0.9934725848563969,3.731070496083551,766
llama,livecodebench,static_7_1_8,9,0.9956377148628235,1.4242424242424243,0.6931818181818182,6.575757575757576,264
llama,livecodebench,static_7_4_8,9,0.9956377148628235,1.5263157894736843,0.6992481203007519,6.473684210526316,266
llama,livecodebench,static_6_10_60,9,0.9956377148628235,54.0,1.0,6.0,7
llama,math500,static_3_1_4,0,0.33922699093818665,0.0,0.24550898203592814,1.4610778443113772,334
llama,math500,static_7_1_8,0,0.33922699093818665,6.378947368421053,0.031578947368421054,1.6210526315789473,380
llama,math500,static_7_4_8,0,0.33922699093818665,6.155709342560554,0.02422145328719723,1.8442906574394464,289
llama,math500,static_6_10_60,0,0.33922699093818665,57.52173913043478,0.09698996655518395,2.4782608695652173,299
llama,math500,static_3_1_4,1,0.5034714937210083,0.0,0.43783783783783786,1.8216216216216217,370
llama,math500,static_7_1_8,1,0.5034714937210083,6.013404825737266,0.058981233243967826,1.9865951742627346,373
llama,math500,static_7_4_8,1,0.5034714937210083,5.555921052631579,0.039473684210526314,2.4440789473684212,304
llama,math500,static_6_10_60,1,0.5034714937210083,56.2992125984252,0.3346456692913386,3.7007874015748032,254
llama,math500,static_3_1_4,2,0.6245784759521484,0.0,0.5609756097560976,2.203252032520325,369
llama,math500,static_7_1_8,2,0.6245784759521484,5.604838709677419,0.11021505376344086,2.3951612903225805,372
llama,math500,static_7_4_8,2,0.6245784759521484,5.083601286173633,0.07717041800643087,2.9163987138263665,311
llama,math500,static_6_10_60,2,0.6245784759521484,55.89558232931727,0.42971887550200805,4.104417670682731,249
