signal,model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_tput_tok_s,best_al
DOG,llama,livecodebench,0,0.003343944437801838,1303,static_3_1_4,65.46026864143349,1.0857142857142856
DOG,llama,livecodebench,1,0.014272972010076046,1303,static_6_10_60,111.23767094121291,2.8206806282722514
DOG,llama,livecodebench,2,0.030947431921958923,1302,static_6_10_60,138.71891537889957,3.5175292153589317
DOG,llama,livecodebench,3,0.0552188865840435,1303,static_6_10_60,202.78229950835436,5.142
DOG,llama,livecodebench,4,0.09104469418525696,1302,static_6_10_60,238.57516401602174,6.049608355091384
DOG,llama,livecodebench,5,0.14453649520874023,1303,static_6_10_60,140.84451541114794,3.5714285714285716
DOG,llama,livecodebench,6,0.22600533068180084,1302,static_7_1_8,169.78521325502143,3.3573085846867747
DOG,llama,livecodebench,7,0.34634268283843994,1303,static_7_1_8,233.61983142024394,4.619565217391305
DOG,llama,livecodebench,8,0.5181053280830383,1302,static_7_4_8,247.95335476473804,5.039735099337748
DOG,llama,livecodebench,9,0.8281662464141846,1303,static_7_1_8,354.6483540486779,7.012765957446809
DOG,llama,math500,0,0.020105667412281036,1302,static_6_10_60,142.82527014127405,3.5514018691588785
DOG,llama,math500,1,0.045412614941596985,1301,static_6_10_60,164.02142404219487,4.078451882845188
DOG,llama,math500,2,0.07333265244960785,1301,static_6_10_60,212.91470079971117,5.294200848656295
DOG,llama,math500,3,0.11538299918174744,1301,static_6_10_60,245.82000467532072,6.112403100775194
DOG,llama,math500,4,0.18403275310993195,1302,static_6_10_60,183.84726502395577,4.571428571428571
DOG,llama,math500,5,0.26104333996772766,1301,static_7_4_8,181.2609170811905,3.628440366972477
DOG,llama,math500,6,0.3517337143421173,1301,static_7_4_8,207.5352615575776,4.154394299287411
DOG,llama,math500,7,0.4496971666812897,1301,static_7_4_8,223.58351816393838,4.4756446991404015
DOG,llama,math500,8,0.5991339683532715,1301,static_7_1_8,274.188062954719,5.345454545454546
DOG,llama,math500,9,0.8496949076652527,1302,static_7_1_8,337.7453767688802,6.584541062801932
DOG,llama,mtbench,0,0.02772032655775547,1429,static_6_10_60,166.14185980985167,4.170149253731343
DOG,llama,mtbench,1,0.06099873408675194,1429,static_6_10_60,214.75369726680768,5.390303030303031
DOG,llama,mtbench,2,0.09492862224578857,1428,static_6_10_60,234.04164627463402,5.8744292237442925
DOG,llama,mtbench,3,0.14538806676864624,1429,static_6_10_60,210.58680359373264,5.285714285714286
DOG,llama,mtbench,4,0.20335756242275238,1429,static_6_10_60,237.00136454346628,5.948717948717949
DOG,llama,mtbench,5,0.26782941818237305,1428,static_6_10_60,236.12930317266924,5.926829268292683
DOG,llama,mtbench,6,0.3406314253807068,1429,static_6_10_60,224.8156416743903,5.642857142857143
DOG,llama,mtbench,7,0.42861664295196533,1428,static_7_1_8,224.6147184988921,4.412568306010929
DOG,llama,mtbench,8,0.5423416495323181,1429,static_7_4_8,252.09034687822808,5.074074074074074
DOG,llama,mtbench,9,0.7536659240722656,1429,static_7_4_8,286.9868380046947,5.776470588235294
DOG,qwen,livecodebench,0,0.009958288632333279,7133,static_6_10_60,119.05105383514791,2.6230290456431535
DOG,qwen,livecodebench,1,0.021597975865006447,7133,static_6_10_60,143.53432465415062,3.1624642578632702
DOG,qwen,livecodebench,2,0.03350452706217766,7133,static_6_10_60,160.54676240297968,3.5372960372960374
DOG,qwen,livecodebench,3,0.047947388142347336,7133,static_6_10_60,183.4963417454335,4.042939719240297
DOG,qwen,livecodebench,4,0.06680232286453247,7133,static_6_10_60,208.60499424584853,4.596153846153846
DOG,qwen,livecodebench,5,0.09015727788209915,7133,static_6_10_60,166.41848913336872,3.6666666666666665
DOG,qwen,livecodebench,6,0.11887770891189575,7133,static_7_4_8,118.55562016143968,2.355796229442439
DOG,qwen,livecodebench,7,0.15758998692035675,7133,static_7_4_8,131.3216434536434,2.6094674556213016
DOG,qwen,livecodebench,8,0.21902573108673096,7133,static_7_4_8,144.34998025850038,2.8683510638297873
DOG,qwen,livecodebench,9,0.3924144506454468,7133,static_7_4_8,182.89253828207686,3.634222919937206
DOG,qwen,math500,0,0.009454329498112202,6908,static_6_10_60,115.02732656384164,2.5022263885633933
DOG,qwen,math500,1,0.0219708364456892,6908,static_6_10_60,144.51426155205996,3.1436651583710407
DOG,qwen,math500,2,0.03515880927443504,6908,static_6_10_60,168.93741675896172,3.674949899799599
DOG,qwen,math500,3,0.05145169422030449,6907,static_6_10_60,189.60993784902612,4.124645892351275
DOG,qwen,math500,4,0.07316513359546661,6908,static_6_10_60,211.62279023935366,4.603498542274052
DOG,qwen,math500,5,0.10097528994083405,6908,static_6_10_60,190.14860244518815,4.136363636363637
DOG,qwen,math500,6,0.13634458184242249,6907,static_6_10_60,164.17854214262712,3.5714285714285716
DOG,qwen,math500,7,0.18437989056110382,6908,static_7_4_8,139.93584094368947,2.7701579384871153
DOG,qwen,math500,8,0.25718945264816284,6908,static_7_4_8,157.43304863089529,3.116531165311653
DOG,qwen,math500,9,0.44570720195770264,6908,static_7_4_8,176.42248605845072,3.4924444444444442
DOG,qwen,mtbench,0,0.01844617910683155,7687,static_6_10_60,148.23906933227263,3.325243725368181
DOG,qwen,mtbench,1,0.048745110630989075,7687,static_6_10_60,202.8626066940738,4.550538620215448
DOG,qwen,mtbench,2,0.07885373383760452,7686,static_6_10_60,254.30812866260888,5.704545454545454
DOG,qwen,mtbench,3,0.11510820686817169,7687,static_6_10_60,289.93983400783355,6.503822629969419
DOG,qwen,mtbench,4,0.1757943034172058,7686,static_6_10_60,219.65737965758413,4.927272727272728
DOG,qwen,mtbench,5,0.2527107298374176,7687,static_6_10_60,207.67714636872657,4.658536585365853
DOG,qwen,mtbench,6,0.34528619050979614,7686,static_6_10_60,210.4171799229108,4.72
DOG,qwen,mtbench,7,0.4702205955982208,7687,static_7_4_8,226.54185687298602,4.556554661618552
DOG,qwen,mtbench,8,0.6586633324623108,7686,static_7_1_8,320.53350020558554,6.300861497680583
DOG,qwen,mtbench,9,0.8773253560066223,7687,static_7_4_8,342.61641228167053,6.8912228057014255
t,llama,livecodebench,0,0.2139420211315155,1303,static_3_1_4,68.06198577544598,1.1288659793814433
t,llama,livecodebench,1,0.33353736996650696,1303,static_6_10_60,76.44803276620625,1.9385113268608414
t,llama,livecodebench,2,0.4553867280483246,1302,static_6_10_60,100.06667475877748,2.5374149659863945
t,llama,livecodebench,3,0.5894931554794312,1303,static_6_10_60,118.70244740697676,3.009966777408638
t,llama,livecodebench,4,0.7137696146965027,1302,static_3_1_4,122.45291913762595,2.0309859154929577
t,llama,livecodebench,5,0.8155083656311035,1303,static_3_1_4,153.76445923428415,2.550314465408805
t,llama,livecodebench,6,0.8784042596817017,1302,static_7_4_8,198.01998912570537,4.024822695035461
t,llama,livecodebench,7,0.9238553047180176,1303,static_7_4_8,231.10461987201583,4.697278911564626
t,llama,livecodebench,8,0.9617286324501038,1302,static_7_1_8,258.8193621438595,5.117857142857143
t,llama,livecodebench,9,0.9956377148628235,1303,static_7_1_8,332.5480438127451,6.575757575757576
t,llama,math500,0,0.33922699093818665,1302,static_6_10_60,99.66719938119341,2.4782608695652173
t,llama,math500,1,0.5034714937210083,1301,static_6_10_60,148.83304673445238,3.7007874015748032
t,llama,math500,2,0.6245784759521484,1301,static_6_10_60,165.0656794655346,4.104417670682731
t,llama,math500,3,0.7409906387329102,1301,static_6_10_60,170.32025660160082,4.235074626865671
t,llama,math500,4,0.8305574059486389,1302,static_7_4_8,183.23409157736003,3.66793893129771
t,llama,math500,5,0.8826719522476196,1301,static_7_1_8,195.9635510302632,3.8204225352112675
t,llama,math500,6,0.9158582091331482,1301,static_7_4_8,215.36875031198392,4.3112033195020745
t,llama,math500,7,0.9432222247123718,1301,static_6_10_60,227.94240101684045,5.667870036101083
t,llama,math500,8,0.9711633324623108,1301,static_7_4_8,262.6612884674684,5.257894736842105
t,llama,math500,9,0.9962197542190552,1302,static_7_4_8,296.83515465005576,5.9419795221843
t,llama,mtbench,0,0.34985679388046265,1429,static_6_10_60,133.05305948630024,3.339622641509434
t,llama,mtbench,1,0.47867438197135925,1429,static_6_10_60,159.51983983653784,4.003937007874016
t,llama,mtbench,2,0.5758596658706665,1428,static_6_10_60,182.08208995115905,4.570247933884297
t,llama,mtbench,3,0.6682186722755432,1429,static_6_10_60,196.59876123444002,4.934615384615385
t,llama,mtbench,4,0.7560616731643677,1429,static_6_10_60,205.55764530660366,5.1594827586206895
t,llama,mtbench,5,0.8346428275108337,1428,static_6_10_60,206.71218153176898,5.188461538461539
t,llama,mtbench,6,0.8889838457107544,1429,static_6_10_60,209.64887269403388,5.262172284644195
t,llama,mtbench,7,0.9227921366691589,1428,static_6_10_60,232.44229888562276,5.8342857142857145
t,llama,mtbench,8,0.9511811137199402,1429,static_7_1_8,248.76519119681043,4.887005649717514
t,llama,mtbench,9,0.9855886697769165,1429,static_7_1_8,287.3715349451929,5.645429362880886
t,qwen,livecodebench,0,0.3486778438091278,7133,static_6_10_60,105.532856038312,2.3251851851851852
t,qwen,livecodebench,1,0.4391537010669708,7133,static_6_10_60,119.28597997321884,2.628205128205128
t,qwen,livecodebench,2,0.5039694309234619,7133,static_6_10_60,126.03207246624264,2.776840490797546
t,qwen,livecodebench,3,0.5674952268600464,7133,static_6_10_60,131.0896253186419,2.888272583201268
t,qwen,livecodebench,4,0.6328356266021729,7133,static_6_10_60,139.09552912868799,3.064665127020785
t,qwen,livecodebench,5,0.7045516967773438,7133,static_6_10_60,142.29582585722898,3.1351766513056836
t,qwen,livecodebench,6,0.7834206819534302,7133,static_6_10_60,150.58289991957815,3.3177641653905052
t,qwen,livecodebench,7,0.8566678166389465,7133,static_6_10_60,158.0666535533945,3.4826522744795683
t,qwen,livecodebench,8,0.914303183555603,7133,static_6_10_60,174.2339201180896,3.838862559241706
t,qwen,livecodebench,9,0.9662292003631592,7133,static_6_10_60,193.549745846627,4.264444444444444
t,qwen,math500,0,0.35380876064300537,6908,static_6_10_60,100.60448467211036,2.18848167539267
t,qwen,math500,1,0.45394930243492126,6908,static_6_10_60,116.52190739608967,2.5347384855581576
t,qwen,math500,2,0.5292856693267822,6908,static_6_10_60,122.62514563048147,2.66750418760469
t,qwen,math500,3,0.6015119552612305,6907,static_6_10_60,135.9498711637677,2.9573612228479487
t,qwen,math500,4,0.6765707731246948,6908,static_6_10_60,142.55414189577502,3.101026045777427
t,qwen,math500,5,0.7582550048828125,6908,static_6_10_60,150.30154631866696,3.2695578231292517
t,qwen,math500,6,0.836796224117279,6907,static_6_10_60,157.9499642435998,3.4359363153904474
t,qwen,math500,7,0.8996702432632446,6908,static_6_10_60,170.32793815338653,3.7051983584131327
t,qwen,math500,8,0.9423604011535645,6908,static_6_10_60,190.10735206576496,4.135466303607896
t,qwen,math500,9,0.9805088043212891,6908,static_6_10_60,211.46196227970373,4.6
t,qwen,mtbench,0,0.3778989017009735,7687,static_6_10_60,114.24567628571072,2.5627165627165627
t,qwen,mtbench,1,0.5371673107147217,7687,static_6_10_60,153.88256181155356,3.451836451836452
t,qwen,mtbench,2,0.6575132608413696,7686,static_6_10_60,173.20286799091826,3.885222381635581
t,qwen,mtbench,3,0.774882435798645,7687,static_6_10_60,183.0360693691987,4.105797101449276
t,qwen,mtbench,4,0.8691889047622681,7686,static_6_10_60,202.39740964639626,4.540103492884864
t,qwen,mtbench,5,0.9173247814178467,7687,static_6_10_60,234.62721623727063,5.263070539419087
t,qwen,mtbench,6,0.9444097280502319,7686,static_6_10_60,246.68135791876682,5.533464566929134
t,qwen,mtbench,7,0.9668130278587341,7687,static_6_10_60,256.5979629048499,5.755910165484633
t,qwen,mtbench,8,0.989120602607727,7686,static_6_10_60,271.574733418455,6.091863517060368
t,qwen,mtbench,9,0.9995957612991333,7687,static_7_1_8,318.00116138880094,6.251082251082251
