model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_3_1_4,0,0.05,808,0.45132013201320126,0.43433389945593986,0.46830636457046265,DOG
llama,livecodebench,static_3_1_4,1,0.15000000000000002,542,0.6248462484624846,0.5966675173902729,0.6530249795346963,DOG
llama,livecodebench,static_3_1_4,2,0.25,430,0.7403100775193799,0.7047004993093346,0.7759196557294252,DOG
llama,livecodebench,static_3_1_4,3,0.35000000000000003,378,0.8245149911816579,0.7858840264507094,0.8631459559126065,DOG
llama,livecodebench,static_3_1_4,4,0.45,275,0.8909090909090907,0.8412943424313735,0.9405238393868078,DOG
llama,livecodebench,static_3_1_4,5,0.55,399,1.152046783625731,1.120468863720114,1.1836247035313483,DOG
llama,livecodebench,static_3_1_4,6,0.6500000000000001,367,1.1743869209809263,1.1439486416284887,1.204825200333364,DOG
llama,livecodebench,static_3_1_4,7,0.75,200,1.1466666666666667,1.1055961628106084,1.187737170522725,DOG
llama,livecodebench,static_3_1_4,8,0.8500000000000001,170,1.2568627450980394,1.2269928192233053,1.2867326709727736,DOG
llama,livecodebench,static_3_1_4,9,0.95,252,1.2698412698412698,1.2464821281455143,1.2932004115370253,DOG
llama,math500,static_3_1_4,0,0.05,353,0.5193578847969782,0.4852296296877863,0.5534861399061701,DOG
llama,math500,static_3_1_4,1,0.15000000000000002,451,0.6496674057649666,0.6151703411644864,0.6841644703654468,DOG
llama,math500,static_3_1_4,2,0.25,459,0.7981118373275237,0.7600463980677783,0.836177276587269,DOG
llama,math500,static_3_1_4,3,0.35000000000000003,470,0.8354609929078013,0.8005477067538931,0.8703742790617095,DOG
llama,math500,static_3_1_4,4,0.45,458,0.9526928675400292,0.9185455494330607,0.9868401856469978,DOG
llama,math500,static_3_1_4,5,0.55,426,1.0031298904538342,0.9693513110034293,1.036908469904239,DOG
llama,math500,static_3_1_4,6,0.6500000000000001,322,1.0817805383022776,1.04755728677507,1.1160037898294852,DOG
llama,math500,static_3_1_4,7,0.75,308,1.146103896103896,1.1125215712391865,1.1796862209686056,DOG
llama,math500,static_3_1_4,8,0.8500000000000001,253,1.1422924901185771,1.1064491360606716,1.1781358441764826,DOG
llama,math500,static_3_1_4,9,0.95,334,1.2714570858283434,1.2522136369455021,1.2907005347111846,DOG
llama,mtbench,static_3_1_4,0,0.05,340,0.5362745098039216,0.49981366546874334,0.5727353541390998,DOG
llama,mtbench,static_3_1_4,1,0.15000000000000002,650,0.6805128205128204,0.649608882223757,0.7114167588018837,DOG
llama,mtbench,static_3_1_4,2,0.25,678,0.7822025565388396,0.7506357035438463,0.8137694095338329,DOG
llama,mtbench,static_3_1_4,3,0.35000000000000003,621,0.877079978529254,0.8454127243566533,0.9087472327018548,DOG
llama,mtbench,static_3_1_4,4,0.45,633,1.0052659294365456,0.9760894507363153,1.034442408136776,DOG
llama,mtbench,static_3_1_4,5,0.55,506,1.0059288537549407,0.9741955805131944,1.0376621269966868,DOG
llama,mtbench,static_3_1_4,6,0.6500000000000001,442,1.0889894419306185,1.0595232004256998,1.1184556834355373,DOG
llama,mtbench,static_3_1_4,7,0.75,318,1.148846960167715,1.1171957066559481,1.1804982136794817,DOG
llama,mtbench,static_3_1_4,8,0.8500000000000001,262,1.2010178117048345,1.1713805509585369,1.230655072451132,DOG
llama,mtbench,static_3_1_4,9,0.95,130,1.2,1.156835787109017,1.243164212890983,DOG
qwen,livecodebench,static_3_1_4,0,0.05,7181,0.5117207445573968,0.5051631186755531,0.5182783704392405,DOG
qwen,livecodebench,static_3_1_4,1,0.15000000000000002,6284,0.6020050922978993,0.5941135022071312,0.6098966823886675,DOG
qwen,livecodebench,static_3_1_4,2,0.25,3661,0.6934353091140855,0.682490432817547,0.704380185410624,DOG
qwen,livecodebench,static_3_1_4,3,0.35000000000000003,1957,0.7830011923011412,0.7679608936489525,0.7980414909533299,DOG
qwen,livecodebench,static_3_1_4,4,0.45,1078,0.8549783549783548,0.8345872782057335,0.8753694317509761,DOG
qwen,livecodebench,static_3_1_4,5,0.55,569,0.9162272993555947,0.888099210551243,0.9443553881599464,DOG
qwen,livecodebench,static_3_1_4,6,0.6500000000000001,273,0.9706959706959707,0.9307285992852652,1.0106633421066762,DOG
qwen,livecodebench,static_3_1_4,7,0.75,121,1.0165289256198347,0.9613153238819804,1.071742527357689,DOG
qwen,livecodebench,static_3_1_4,8,0.8500000000000001,58,1.1091954022988504,1.028227657165552,1.1901631474321488,DOG
qwen,livecodebench,static_3_1_4,9,0.95,6,0.9444444444444445,0.6822052736174123,1.2066836152714768,DOG
qwen,math500,static_3_1_4,0,0.05,6280,0.49904458598726115,0.4921057020425789,0.5059834699319433,DOG
qwen,math500,static_3_1_4,1,0.15000000000000002,5446,0.6102338107479495,0.601375084845148,0.6190925366507509,DOG
qwen,math500,static_3_1_4,2,0.25,3395,0.6984781541482572,0.686531040959754,0.7104252673367604,DOG
qwen,math500,static_3_1_4,3,0.35000000000000003,2272,0.7794894366197183,0.7646923604020052,0.7942865128374313,DOG
qwen,math500,static_3_1_4,4,0.45,1508,0.8395225464190982,0.8214523704259054,0.857592722412291,DOG
qwen,math500,static_3_1_4,5,0.55,891,0.9435091657313879,0.9210223236314976,0.9659960078312781,DOG
qwen,math500,static_3_1_4,6,0.6500000000000001,518,0.9382239382239382,0.9097072880776025,0.966740588370274,DOG
