model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_3_1_4,0,0.05,0,,,,t
llama,livecodebench,static_3_1_4,1,0.15000000000000002,49,0.3537414965986394,0.32417675283052816,0.38330624036675065,t
llama,livecodebench,static_3_1_4,2,0.25,190,0.3982456140350878,0.3715857092804194,0.4249055187897562,t
llama,livecodebench,static_3_1_4,3,0.35000000000000003,359,0.403899721448468,0.3832886867497504,0.42451075614718553,t
llama,livecodebench,static_3_1_4,4,0.45,269,0.4944237918215613,0.4600831515205253,0.5287644321225973,t
llama,livecodebench,static_3_1_4,5,0.55,268,0.5609452736318408,0.5212583431712696,0.6006322040924119,t
llama,livecodebench,static_3_1_4,6,0.6500000000000001,285,0.6023391812865497,0.562670988761759,0.6420073738113404,t
llama,livecodebench,static_3_1_4,7,0.75,317,0.7444794952681387,0.7028489237689138,0.7861100667673636,t
llama,livecodebench,static_3_1_4,8,0.8500000000000001,503,0.9158383035122597,0.8833878985807588,0.9482887084437606,t
llama,livecodebench,static_3_1_4,9,0.95,1581,1.1652962260172888,1.15124632373819,1.1793461282963875,t
llama,math500,static_3_1_4,0,0.05,0,,,,t
llama,math500,static_3_1_4,1,0.15000000000000002,4,0.41666666666666663,0.2533333333333333,0.58,t
llama,math500,static_3_1_4,2,0.25,64,0.4322916666666667,0.3694027148974598,0.4951806184358736,t
llama,math500,static_3_1_4,3,0.35000000000000003,186,0.4928315412186379,0.44878312865868175,0.5368799537785941,t
llama,math500,static_3_1_4,4,0.45,254,0.5853018372703412,0.5408962076936936,0.6297074668469889,t
llama,math500,static_3_1_4,5,0.55,304,0.6337719298245613,0.5909863957415677,0.6765574639075549,t
llama,math500,static_3_1_4,6,0.6500000000000001,312,0.751068376068376,0.7045936697911588,0.7975430823455931,t
llama,math500,static_3_1_4,7,0.75,364,0.8159340659340659,0.7742447012697415,0.8576234305983903,t
llama,math500,static_3_1_4,8,0.8500000000000001,581,0.9300057372346527,0.9011713240034828,0.9588401504658227,t
llama,math500,static_3_1_4,9,0.95,1765,1.1218130311614731,1.1075239906244674,1.1361020716984789,t
llama,mtbench,static_3_1_4,0,0.05,0,,,,t
llama,mtbench,static_3_1_4,1,0.15000000000000002,3,0.6666666666666666,0.013333333333333197,1.32,t
