model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_3_1_4,0,0.05,0,,,,target_top1_prob
llama,livecodebench,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
llama,livecodebench,static_3_1_4,2,0.25,4,0.5833333333333333,0.2705738114662628,0.8960928552004037,target_top1_prob
llama,livecodebench,static_3_1_4,3,0.35000000000000003,48,0.6458333333333334,0.549731694327016,0.7419349723396508,target_top1_prob
llama,livecodebench,static_3_1_4,4,0.45,107,0.6105919003115263,0.542012088304566,0.6791717123184866,target_top1_prob
llama,livecodebench,static_3_1_4,5,0.55,227,0.6270190895741555,0.5794655067163085,0.6745726724320026,target_top1_prob
llama,livecodebench,static_3_1_4,6,0.6500000000000001,397,0.6624685138539043,0.6256628345200914,0.6992741931877171,target_top1_prob
llama,livecodebench,static_3_1_4,7,0.75,580,0.7821839080459769,0.7490575836806189,0.8153102324113349,target_top1_prob
llama,livecodebench,static_3_1_4,8,0.8500000000000001,668,0.8018962075848303,0.7704980853445614,0.8332943298250991,target_top1_prob
llama,livecodebench,static_3_1_4,9,0.95,1790,0.9713221601489759,0.9514833084217403,0.9911610118762114,target_top1_prob
llama,math500,static_3_1_4,0,0.05,0,,,,target_top1_prob
llama,math500,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
llama,math500,static_3_1_4,2,0.25,1,,,,target_top1_prob
llama,math500,static_3_1_4,3,0.35000000000000003,9,0.7407407407407408,0.5027300091179274,0.9787514723635542,target_top1_prob
llama,math500,static_3_1_4,4,0.45,43,0.7286821705426356,0.6151757261533695,0.8421886149319018,target_top1_prob
llama,math500,static_3_1_4,5,0.55,113,0.71976401179941,0.6498008729069722,0.7897271506918477,target_top1_prob
llama,math500,static_3_1_4,6,0.6500000000000001,291,0.7583046964490262,0.7136629453270262,0.8029464475710262,target_top1_prob
llama,math500,static_3_1_4,7,0.75,541,0.8170055452865065,0.7829891164505934,0.8510219741224195,target_top1_prob
llama,math500,static_3_1_4,8,0.8500000000000001,856,0.8524143302180687,0.8253579001573552,0.8794707602787821,target_top1_prob
llama,math500,static_3_1_4,9,0.95,1980,1.011111111111111,0.9938289833881465,1.0283932388340757,target_top1_prob
llama,mtbench,static_3_1_4,0,0.05,0,,,,target_top1_prob
llama,mtbench,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
llama,mtbench,static_3_1_4,2,0.25,1,,,,target_top1_prob
llama,mtbench,static_3_1_4,3,0.35000000000000003,13,0.5384615384615383,0.364368226521282,0.7125548504017947,target_top1_prob
llama,mtbench,static_3_1_4,4,0.45,69,0.676328502415459,0.583883000887071,0.7687740039438471,target_top1_prob
llama,mtbench,static_3_1_4,5,0.55,248,0.75,0.7004390000413236,0.7995609999586764,target_top1_prob
llama,mtbench,static_3_1_4,6,0.6500000000000001,599,0.7779632721202002,0.7455214109390941,0.8104051333013064,target_top1_prob
llama,mtbench,static_3_1_4,7,0.75,946,0.8576462297392529,0.8317043861956316,0.8835880732828741,target_top1_prob
llama,mtbench,static_3_1_4,8,0.8500000000000001,1229,0.9248711689720639,0.9021298713223369,0.9476124666217909,target_top1_prob
llama,mtbench,static_3_1_4,9,0.95,1475,1.0219209039548023,1.0017293991218272,1.0421124087877773,target_top1_prob
qwen,livecodebench,static_3_1_4,0,0.05,0,,,,target_top1_prob
qwen,livecodebench,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
qwen,livecodebench,static_3_1_4,2,0.25,2,,,,target_top1_prob
qwen,livecodebench,static_3_1_4,3,0.35000000000000003,15,0.4888888888888889,0.3809373679908602,0.5968404097869175,target_top1_prob
qwen,livecodebench,static_3_1_4,4,0.45,194,0.5790378006872852,0.535067545987591,0.6230080553869793,target_top1_prob
qwen,livecodebench,static_3_1_4,5,0.55,804,0.5551409618573797,0.5350422056332435,0.575239718081516,target_top1_prob
qwen,livecodebench,static_3_1_4,6,0.6500000000000001,2335,0.5755888650963598,0.5632760487127739,0.5879016814799456,target_top1_prob
qwen,livecodebench,static_3_1_4,7,0.75,4481,0.592799226363163,0.5835023751046757,0.6020960776216502,target_top1_prob
qwen,livecodebench,static_3_1_4,8,0.8500000000000001,6269,0.6258308076779922,0.6175333630101444,0.6341282523458399,target_top1_prob
qwen,livecodebench,static_3_1_4,9,0.95,7088,0.6968585402558315,0.6884554631260219,0.7052616173856411,target_top1_prob
qwen,math500,static_3_1_4,0,0.05,0,,,,target_top1_prob
qwen,math500,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
qwen,math500,static_3_1_4,2,0.25,0,,,,target_top1_prob
qwen,math500,static_3_1_4,3,0.35000000000000003,9,0.48148148148148145,0.36670251455685143,0.5962604484061115,target_top1_prob
qwen,math500,static_3_1_4,4,0.45,133,0.523809523809524,0.4812292684096293,0.5663897792094186,target_top1_prob
qwen,math500,static_3_1_4,5,0.55,515,0.5113268608414239,0.48756502345659686,0.5350886982262508,target_top1_prob
qwen,math500,static_3_1_4,6,0.6500000000000001,1572,0.5447413061916878,0.5301212546738462,0.5593613577095294,target_top1_prob
qwen,math500,static_3_1_4,7,0.75,3349,0.5701204339603861,0.5594389511498576,0.5808019167709146,target_top1_prob
qwen,math500,static_3_1_4,8,0.8500000000000001,5555,0.6204620462046204,0.6115032163916777,0.6294208760175631,target_top1_prob
qwen,math500,static_3_1_4,9,0.95,9487,0.7333544148132531,0.7257955725563102,0.7409132570701961,target_top1_prob
qwen,mtbench,static_3_1_4,0,0.05,0,,,,target_top1_prob
qwen,mtbench,static_3_1_4,1,0.15000000000000002,0,,,,target_top1_prob
qwen,mtbench,static_3_1_4,2,0.25,2,,,,target_top1_prob
qwen,mtbench,static_3_1_4,3,0.35000000000000003,13,0.4871794871794871,0.328254763745384,0.6461042106135902,target_top1_prob
qwen,mtbench,static_3_1_4,4,0.45,61,0.5683060109289618,0.48699640599914706,0.6496156158587766,target_top1_prob
qwen,mtbench,static_3_1_4,5,0.55,305,0.6120218579234973,0.5731751024655677,0.6508686133814269,target_top1_prob
qwen,mtbench,static_3_1_4,6,0.6500000000000001,1146,0.6873182082606166,0.6658819217410946,0.7087544947801386,target_top1_prob
qwen,mtbench,static_3_1_4,7,0.75,2991,0.7305249080575058,0.7169389306856119,0.7441108854293997,target_top1_prob
qwen,mtbench,static_3_1_4,8,0.8500000000000001,5674,0.7886852308776877,0.7784754967119983,0.7988949650433771,target_top1_prob
qwen,mtbench,static_3_1_4,9,0.95,15866,0.9613219042816924,0.9553681717490624,0.9672756368143224,target_top1_prob
llama,livecodebench,static_7_1_8,0,0.05,0,,,,target_top1_prob
llama,livecodebench,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,livecodebench,static_7_1_8,2,0.25,29,0.34975369458128075,0.2549066746290604,0.4446007145335011,target_top1_prob
llama,livecodebench,static_7_1_8,3,0.35000000000000003,119,0.3097238895558224,0.2653519405226188,0.35409583858902605,target_top1_prob
llama,livecodebench,static_7_1_8,4,0.45,257,0.28960533629794327,0.2598537473908151,0.3193569252050714,target_top1_prob
llama,livecodebench,static_7_1_8,5,0.55,336,0.30017006802721086,0.27433107811529045,0.32600905793913126,target_top1_prob
llama,livecodebench,static_7_1_8,6,0.6500000000000001,493,0.3367139959432049,0.31332012487262423,0.36010786701378555,target_top1_prob
llama,livecodebench,static_7_1_8,7,0.75,595,0.4141656662665066,0.3882746001949903,0.44005673233802284,target_top1_prob
llama,livecodebench,static_7_1_8,8,0.8500000000000001,583,0.464592011761823,0.4371047290299397,0.49207929449370635,target_top1_prob
llama,livecodebench,static_7_1_8,9,0.95,706,0.6242411978955887,0.5936619518834316,0.6548204439077459,target_top1_prob
llama,math500,static_7_1_8,0,0.05,0,,,,target_top1_prob
llama,math500,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,math500,static_7_1_8,2,0.25,11,0.3766233766233766,0.2152327258756944,0.5380140273710587,target_top1_prob
llama,math500,static_7_1_8,3,0.35000000000000003,25,0.3142857142857143,0.22142022015576307,0.4071512084156655,target_top1_prob
llama,math500,static_7_1_8,4,0.45,88,0.3019480519480519,0.25636964182270333,0.3475264620734005,target_top1_prob
llama,math500,static_7_1_8,5,0.55,201,0.3681592039800995,0.3314477804095173,0.4048706275506817,target_top1_prob
llama,math500,static_7_1_8,6,0.6500000000000001,428,0.3758344459279039,0.3501008872365445,0.4015680046192633,target_top1_prob
llama,math500,static_7_1_8,7,0.75,732,0.423887587822014,0.40361418112670033,0.4441609945173277,target_top1_prob
llama,math500,static_7_1_8,8,0.8500000000000001,987,0.48965117962078447,0.4701191602240768,0.5091831990174921,target_top1_prob
llama,math500,static_7_1_8,9,0.95,1027,0.645152316038392,0.622057589894897,0.6682470421818869,target_top1_prob
llama,mtbench,static_7_1_8,0,0.05,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,2,0.25,0,,,,target_top1_prob
llama,mtbench,static_7_1_8,3,0.35000000000000003,1,,,,target_top1_prob
