model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_3_1_4,0,0.05,309,0.36893203883495146,0.3515358541919577,0.3863282234779452,top1_prob
llama,livecodebench,static_3_1_4,1,0.15000000000000002,213,0.4100156494522692,0.38326067957015825,0.43677061933438016,top1_prob
llama,livecodebench,static_3_1_4,2,0.25,196,0.4608843537414965,0.4254698364613184,0.4962988710216746,top1_prob
llama,livecodebench,static_3_1_4,3,0.35000000000000003,175,0.5333333333333334,0.48627140570676375,0.5803952609599031,top1_prob
llama,livecodebench,static_3_1_4,4,0.45,204,0.5784313725490197,0.5297729783576614,0.627089766740378,top1_prob
llama,livecodebench,static_3_1_4,5,0.55,223,0.5904334828101644,0.5457725477141931,0.6350944179061356,top1_prob
llama,livecodebench,static_3_1_4,6,0.6500000000000001,189,0.6596119929453262,0.6089192304721245,0.710304755418528,top1_prob
llama,livecodebench,static_3_1_4,7,0.75,229,0.7729257641921398,0.72196003338852,0.8238914949957595,top1_prob
llama,livecodebench,static_3_1_4,8,0.8500000000000001,279,0.8530465949820788,0.8069106881187789,0.8991825018453787,top1_prob
llama,livecodebench,static_3_1_4,9,0.95,1804,1.1406134515890616,1.1269529906797102,1.154273912498413,top1_prob
llama,math500,static_3_1_4,0,0.05,101,0.3927392739273928,0.3533070478124209,0.43217150004236465,top1_prob
llama,math500,static_3_1_4,1,0.15000000000000002,119,0.5238095238095238,0.4641364734706538,0.5834825741483939,top1_prob
llama,math500,static_3_1_4,2,0.25,152,0.5679824561403509,0.5114781682949717,0.6244867439857301,top1_prob
llama,math500,static_3_1_4,3,0.35000000000000003,195,0.5811965811965812,0.5301235899963693,0.6322695723967932,top1_prob
llama,math500,static_3_1_4,4,0.45,235,0.6638297872340425,0.6138367625025904,0.7138228119654946,top1_prob
llama,math500,static_3_1_4,5,0.55,231,0.7532467532467533,0.6989902404523696,0.807503266041137,top1_prob
llama,math500,static_3_1_4,6,0.6500000000000001,243,0.7517146776406034,0.7007258165398718,0.802703538741335,top1_prob
llama,math500,static_3_1_4,7,0.75,273,0.851037851037851,0.8043328481561702,0.8977428539195318,top1_prob
llama,math500,static_3_1_4,8,0.8500000000000001,357,0.9374416433239962,0.899068820674885,0.9758144659731073,top1_prob
llama,math500,static_3_1_4,9,0.95,1928,1.1061549100968187,1.0923014317548496,1.1200083884387877,top1_prob
llama,mtbench,static_3_1_4,0,0.05,42,0.43650793650793646,0.3460975169609515,0.5269183560549214,top1_prob
llama,mtbench,static_3_1_4,1,0.15000000000000002,195,0.46324786324786316,0.422886168509218,0.5036095579865083,top1_prob
llama,mtbench,static_3_1_4,2,0.25,244,0.6161202185792349,0.5674244147169365,0.6648160224415334,top1_prob
llama,mtbench,static_3_1_4,3,0.35000000000000003,288,0.6064814814814814,0.5617992565907595,0.6511637063722033,top1_prob
