model,dataset,config,signal,bin_mid,depth_k,prob_depth_accepted,n_steps_in_bin
llama,livecodebench,static_7_1_8,t,0.1,0,1.0,116
llama,livecodebench,static_7_1_8,t,0.1,1,0.034482758620689655,116
llama,livecodebench,static_7_1_8,t,0.1,2,0.0,116
llama,livecodebench,static_7_1_8,t,0.1,3,0.0,116
llama,livecodebench,static_7_1_8,t,0.1,4,0.0,116
llama,livecodebench,static_7_1_8,t,0.1,5,0.0,116
llama,livecodebench,static_7_1_8,t,0.1,6,0.0,116
llama,livecodebench,static_7_1_8,t,0.30000000000000004,0,1.0,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,1,0.17190388170055454,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,2,0.04436229205175601,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,3,0.018484288354898338,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,4,0.009242144177449169,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,5,0.005545286506469501,541
llama,livecodebench,static_7_1_8,t,0.30000000000000004,6,0.0036968576709796672,541
llama,livecodebench,static_7_1_8,t,0.5,0,1.0,516
llama,livecodebench,static_7_1_8,t,0.5,1,0.39341085271317827,516
llama,livecodebench,static_7_1_8,t,0.5,2,0.17248062015503876,516
llama,livecodebench,static_7_1_8,t,0.5,3,0.08914728682170543,516
llama,livecodebench,static_7_1_8,t,0.5,4,0.05426356589147287,516
llama,livecodebench,static_7_1_8,t,0.5,5,0.03488372093023256,516
llama,livecodebench,static_7_1_8,t,0.5,6,0.01744186046511628,516
llama,livecodebench,static_7_1_8,t,0.7000000000000001,0,1.0,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,1,0.6168384879725086,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,2,0.31099656357388317,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,3,0.15807560137457044,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,4,0.09965635738831616,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,5,0.07388316151202749,582
llama,livecodebench,static_7_1_8,t,0.7000000000000001,6,0.05326460481099656,582
llama,livecodebench,static_7_1_8,t,0.9,0,1.0,1363
llama,livecodebench,static_7_1_8,t,0.9,1,0.9222303741746148,1363
llama,livecodebench,static_7_1_8,t,0.9,2,0.7248716067498165,1363
llama,livecodebench,static_7_1_8,t,0.9,3,0.5796038151137197,1363
llama,livecodebench,static_7_1_8,t,0.9,4,0.462949376375642,1363
llama,livecodebench,static_7_1_8,t,0.9,5,0.3785766691122524,1363
llama,livecodebench,static_7_1_8,t,0.9,6,0.3404255319148936,1363
llama,math500,static_7_1_8,t,0.1,0,1.0,12
llama,math500,static_7_1_8,t,0.1,1,0.25,12
llama,math500,static_7_1_8,t,0.1,2,0.08333333333333333,12
llama,math500,static_7_1_8,t,0.1,3,0.0,12
llama,math500,static_7_1_8,t,0.1,4,0.0,12
llama,math500,static_7_1_8,t,0.1,5,0.0,12
llama,math500,static_7_1_8,t,0.1,6,0.0,12
llama,math500,static_7_1_8,t,0.30000000000000004,0,1.0,287
llama,math500,static_7_1_8,t,0.30000000000000004,1,0.22996515679442509,287
llama,math500,static_7_1_8,t,0.30000000000000004,2,0.1254355400696864,287
llama,math500,static_7_1_8,t,0.30000000000000004,3,0.07665505226480836,287
llama,math500,static_7_1_8,t,0.30000000000000004,4,0.0313588850174216,287
llama,math500,static_7_1_8,t,0.30000000000000004,5,0.017421602787456445,287
llama,math500,static_7_1_8,t,0.30000000000000004,6,0.010452961672473868,287
llama,math500,static_7_1_8,t,0.5,0,1.0,572
llama,math500,static_7_1_8,t,0.5,1,0.42132867132867136,572
llama,math500,static_7_1_8,t,0.5,2,0.2395104895104895,572
llama,math500,static_7_1_8,t,0.5,3,0.13986013986013987,572
llama,math500,static_7_1_8,t,0.5,4,0.10139860139860139,572
llama,math500,static_7_1_8,t,0.5,5,0.06293706293706294,572
llama,math500,static_7_1_8,t,0.5,6,0.043706293706293704,572
llama,math500,static_7_1_8,t,0.7000000000000001,0,1.0,630
llama,math500,static_7_1_8,t,0.7000000000000001,1,0.6206349206349207,630
llama,math500,static_7_1_8,t,0.7000000000000001,2,0.4015873015873016,630
llama,math500,static_7_1_8,t,0.7000000000000001,3,0.25873015873015875,630
llama,math500,static_7_1_8,t,0.7000000000000001,4,0.19047619047619047,630
