model,dataset,config,slope_a,intercept_b,r_squared,pearson_r,n_bins_valid,signal
llama,livecodebench,static_3_1_4,0.7271148166573331,0.2732653951143174,0.8900896088782794,0.9434456046207854,10,top1_prob
llama,livecodebench,static_6_10_60,0.5274615376745315,0.19483482675054614,0.855065643669609,0.9246975957953005,10,top1_prob
llama,livecodebench,static_7_1_8,0.44731690605830526,0.0853716869131089,0.7564079291393462,0.8697171546769364,10,top1_prob
llama,livecodebench,static_7_4_8,0.4394693015499752,0.12475444621606985,0.777576888237061,0.8818032026688614,10,top1_prob
llama,math500,static_3_1_4,0.6868129570883887,0.36950886722119697,0.9578257191093454,0.9786857100772165,10,top1_prob
llama,math500,static_6_10_60,0.5545365855302967,0.32361571492204655,0.8921872742510955,0.9445566548657076,10,top1_prob
llama,math500,static_7_1_8,0.4543069021882987,0.12590238328496445,0.9246252249981636,0.9615743470986337,10,top1_prob
llama,math500,static_7_4_8,0.46475554290994536,0.1779996894152519,0.9430039157288173,0.9710838870709457,10,top1_prob
llama,mtbench,static_3_1_4,0.7281435597680802,0.3738724764107809,0.9737470078317321,0.9867862016828833,10,top1_prob
llama,mtbench,static_6_10_60,0.5848985641710939,0.4284441697644925,0.907728362009734,0.9527477955942664,10,top1_prob
llama,mtbench,static_7_1_8,0.4927767342754978,0.14416076903571676,0.970170206157324,0.9849721854739473,10,top1_prob
llama,mtbench,static_7_4_8,0.45912348329560565,0.20463871705485567,0.9859948984653044,0.992972758168775,10,top1_prob
qwen,livecodebench,static_3_1_4,0.47894983922998463,0.3375113876017425,0.9429495893110176,0.9710559146161551,10,top1_prob
qwen,livecodebench,static_6_10_60,0.33879282693635465,0.3103894712334264,0.9119296721979776,0.9549500888517565,10,top1_prob
qwen,livecodebench,static_7_1_8,0.23176375159494786,0.1410872796952537,0.9370247669716554,0.9680003961629641,10,top1_prob
qwen,livecodebench,static_7_4_8,0.23797742125897828,0.19091691048499443,0.9551163742806905,0.9773005547326219,10,top1_prob
qwen,math500,static_3_1_4,0.4908923700299079,0.32638756550398074,0.9212641447422711,0.9598250594469135,10,top1_prob
qwen,math500,static_6_10_60,0.3401245010842298,0.3087194831529458,0.9776279159341399,0.9887506844165216,10,top1_prob
qwen,math500,static_7_1_8,0.23435014295037385,0.13380604622281084,0.8974912977051251,0.9473601731681173,10,top1_prob
qwen,math500,static_7_4_8,0.24652289244982475,0.18348850638508096,0.9447696421461675,0.9719926142446595,10,top1_prob
qwen,mtbench,static_3_1_4,0.6652757957193859,0.32001299154708873,0.965306162763344,0.9824999556047542,10,top1_prob
qwen,mtbench,static_6_10_60,0.5757349413881026,0.29871021556730876,0.9302520003327708,0.9644957233356563,10,top1_prob
qwen,mtbench,static_7_1_8,0.4162488400224571,0.11096408624741372,0.8281118532061987,0.9100065127273533,10,top1_prob
qwen,mtbench,static_7_4_8,0.4541870885586291,0.14067668474225226,0.9282947109067581,0.9634805192149751,10,top1_prob
llama,livecodebench,static_3_1_4,0.4817216198154861,0.42154808388396275,0.8046125527211465,0.8970019803329012,8,target_top1_prob
llama,livecodebench,static_6_10_60,1.0169218644173916,-0.0510657756177092,0.9233946594633825,0.9609342638616767,8,target_top1_prob
llama,livecodebench,static_7_1_8,0.36975929191093365,0.1642651573946124,0.6384015730466026,0.7990003586022991,8,target_top1_prob
llama,livecodebench,static_7_4_8,0.5033390665785701,0.07843237082231913,0.9405518813313234,0.9698205407864505,8,target_top1_prob
llama,math500,static_3_1_4,0.41279177283895474,0.5356885771043222,0.7423971382509075,0.8616247084728406,7,target_top1_prob
llama,math500,static_6_10_60,0.4532941205485624,0.44768657598155925,0.44193639243959315,0.6647829664180582,7,target_top1_prob
llama,math500,static_7_1_8,0.3726218752559701,0.18836960937720995,0.6728329906890852,0.8202639762229506,8,target_top1_prob
llama,math500,static_7_4_8,0.5823691935525047,0.05682356666226923,0.9020633695033707,0.949770166673691,6,target_top1_prob
llama,mtbench,static_3_1_4,0.7339677354758051,0.31537691703548615,0.9766227055778901,0.9882422302137721,7,target_top1_prob
llama,mtbench,static_6_10_60,0.859988003752937,0.16839023883393245,0.9748637745310911,0.9873519000493649,6,target_top1_prob
llama,mtbench,static_7_1_8,0.6643009665040714,-0.020011105320536626,0.9444905547504566,0.97184903907472,6,target_top1_prob
llama,mtbench,static_7_4_8,0.4707002910209316,0.16348193715455756,0.8984648395195606,0.9478738521130122,7,target_top1_prob
qwen,livecodebench,static_3_1_4,0.2696975830671518,0.41243158398162283,0.8332849630135665,0.9128444352755657,7,target_top1_prob
qwen,livecodebench,static_6_10_60,0.291458296553545,0.2989076555397767,0.973142493624827,0.9864798495787063,5,target_top1_prob
qwen,livecodebench,static_7_1_8,0.22774408547762934,0.10902969609131571,0.8888902855539488,0.9428097822752736,7,target_top1_prob
qwen,livecodebench,static_7_4_8,0.15668168916491304,0.2129927185672803,0.8726528974547625,0.9341589251592913,7,target_top1_prob
qwen,math500,static_3_1_4,0.359899077823025,0.335393609029659,0.8380244629727828,0.9154367607720277,7,target_top1_prob
qwen,math500,static_6_10_60,0.5605753339608874,0.09623983486343823,0.931727787944346,0.9652604767337912,5,target_top1_prob
qwen,math500,static_7_1_8,0.21815907717345093,0.11727769470724703,0.8791678591538349,0.9376395145010874,7,target_top1_prob
qwen,math500,static_7_4_8,0.262134238029027,0.1260372207636409,0.9059344785003326,0.9518059037956912,6,target_top1_prob
qwen,mtbench,static_3_1_4,0.7077459790493128,0.23073048611929642,0.9539355658249119,0.9766962505430805,7,target_top1_prob
qwen,mtbench,static_6_10_60,0.8989436898603053,0.04915919817094061,0.8761646070748923,0.9360366483609989,6,target_top1_prob
qwen,mtbench,static_7_1_8,0.6311047547875777,-0.05545769072664536,0.7685083892583582,0.8766461026311348,6,target_top1_prob
qwen,mtbench,static_7_4_8,0.7489569388854078,-0.13137144830693964,0.9264733540255091,0.9625348586027984,7,target_top1_prob
llama,livecodebench,static_3_1_4,0.9313453205350737,0.11433886299680218,0.887656621453948,0.9421553064404764,9,t
llama,livecodebench,static_6_10_60,0.8307830890935859,0.027873213736857194,0.89595996869514,0.9465516196674855,9,t
llama,livecodebench,static_7_1_8,0.6423264379982149,-0.028201194691464426,0.8058081002108237,0.8976681459263349,9,t
llama,livecodebench,static_7_4_8,0.6170508643065561,0.0074218540563261715,0.832201824105288,0.9122509655271887,9,t
llama,math500,static_3_1_4,0.8542832096520125,0.21677588491866429,0.9567479615166383,0.9781349403413817,9,t
llama,math500,static_6_10_60,0.7424473287967825,0.17876902028478342,0.937065208060185,0.9680212849210419,9,t
llama,math500,static_7_1_8,0.5771805669578138,0.03209332705669371,0.9175076904356859,0.95786621739974,9,t
llama,math500,static_7_4_8,0.6332167216930561,0.039650419419458904,0.9354778122140835,0.9672010195476861,8,t
llama,mtbench,static_3_1_4,0.7667258446069464,0.32162899658353117,0.797076832742651,0.8927915953584302,9,t
llama,mtbench,static_6_10_60,0.7515946529559747,0.2834090698015385,0.9263324877135557,0.9624616811663494,8,t
llama,mtbench,static_7_1_8,0.6639815490842953,0.007056580123292855,0.9521879056224002,0.975801160904413,8,t
llama,mtbench,static_7_4_8,0.624134171839461,0.06856638720577957,0.9847419953215761,0.9923416726720571,8,t
qwen,livecodebench,static_3_1_4,0.6262637539212016,0.21474651307501524,0.9518426960755328,0.9756242596796847,9,t
qwen,livecodebench,static_6_10_60,0.4579440246721952,0.21640993575236894,0.9672233483572463,0.9834751386574275,8,t
qwen,livecodebench,static_7_1_8,0.2537945788360035,0.12205513182045369,0.781861943702793,0.8842295763560463,9,t
