model,dataset,config,spearman_r,n
llama,livecodebench,static_3_1_4,0.6769907404663541,3821
llama,livecodebench,static_6_10_60,0.6801442217049769,3205
llama,livecodebench,static_7_1_8,0.6293264029798269,3118
llama,livecodebench,static_7_4_8,0.660141912078776,2882
llama,math500,static_3_1_4,0.5293065417927931,3834
llama,math500,static_6_10_60,0.4425375583341634,2802
llama,math500,static_7_1_8,0.5425802854656987,3499
llama,math500,static_7_4_8,0.5556086996647795,2878
llama,mtbench,static_3_1_4,0.46306185335335676,4580
llama,mtbench,static_6_10_60,0.378600316412136,2472
llama,mtbench,static_7_1_8,0.4508432133388096,3696
llama,mtbench,static_7_4_8,0.4464229615413464,3539
qwen,livecodebench,static_3_1_4,0.3748766677412711,21188
qwen,livecodebench,static_6_10_60,0.33168643575544443,12823
qwen,livecodebench,static_7_1_8,0.3614143765490288,20303
qwen,livecodebench,static_7_4_8,0.3671437124162228,17016
qwen,math500,static_3_1_4,0.4102349404444553,20620
qwen,math500,static_6_10_60,0.3854856667861512,12158
qwen,math500,static_7_1_8,0.3850424349171947,19714
qwen,math500,static_7_4_8,0.3891465353924563,16586
qwen,mtbench,static_3_1_4,0.5379135495678911,26058
qwen,mtbench,static_6_10_60,0.5450524810551579,14229
qwen,mtbench,static_7_1_8,0.6108410923566475,18465
qwen,mtbench,static_7_4_8,0.6158812384499249,18114
