model,dataset,config,spearman_r,n
llama,livecodebench,static_3_1_4,0.7230331007359918,3821
llama,livecodebench,static_6_10_60,0.7236188323490884,3205
llama,livecodebench,static_7_1_8,0.7186053417825949,3118
llama,livecodebench,static_7_4_8,0.701146314532316,2882
llama,math500,static_3_1_4,0.5500450930641949,3834
llama,math500,static_6_10_60,0.42194823115048746,2802
llama,math500,static_7_1_8,0.593070214883929,3499
llama,math500,static_7_4_8,0.5641678698442631,2878
llama,mtbench,static_3_1_4,0.5295583093944419,4580
llama,mtbench,static_6_10_60,0.40312092075275274,2472
llama,mtbench,static_7_1_8,0.5414024275169805,3696
llama,mtbench,static_7_4_8,0.48338964381935307,3539
qwen,livecodebench,static_3_1_4,0.48511627520874223,21188
qwen,livecodebench,static_6_10_60,0.34312170148908594,12823
qwen,livecodebench,static_7_1_8,0.48325600459622925,20303
qwen,livecodebench,static_7_4_8,0.396822801662318,17016
qwen,math500,static_3_1_4,0.5187936099346006,20620
qwen,math500,static_6_10_60,0.3957019664735403,12158
qwen,math500,static_7_1_8,0.5154098606254843,19714
qwen,math500,static_7_4_8,0.4376657251545846,16586
qwen,mtbench,static_3_1_4,0.5438661328303556,26058
qwen,mtbench,static_6_10_60,0.48438906950020455,14229
qwen,mtbench,static_7_1_8,0.636408939458357,18465
qwen,mtbench,static_7_4_8,0.6002547283485403,18114
