signal,model,dataset,config,n,spearman_r,p_value
DOG,llama,livecodebench,static_3_1_4,3821,0.6769907404663541,0.0
DOG,llama,livecodebench,static_6_10_60,3205,0.6801442217049769,0.0
DOG,llama,livecodebench,static_7_1_8,3118,0.6293264029798269,0.0
DOG,llama,livecodebench,static_7_4_8,2882,0.660141912078776,0.0
DOG,llama,math500,static_3_1_4,3834,0.5293065417927931,6.983466629917078e-276
DOG,llama,math500,static_6_10_60,2802,0.4425375583341634,1.0270152206703148e-134
DOG,llama,math500,static_7_1_8,3499,0.5425802854656987,4.046716901321889e-267
DOG,llama,math500,static_7_4_8,2878,0.5556086996647795,7.361773353512193e-233
DOG,llama,mtbench,static_3_1_4,4580,0.46306185335335676,3.0797335113940982e-242
DOG,llama,mtbench,static_6_10_60,2472,0.378600316412136,4.425210467867092e-85
DOG,llama,mtbench,static_7_1_8,3696,0.4508432133388096,1.5699163117609338e-184
DOG,llama,mtbench,static_7_4_8,3539,0.4464229615413464,5.888681959669301e-173
DOG,qwen,livecodebench,static_3_1_4,21188,0.3748766677412711,0.0
DOG,qwen,livecodebench,static_6_10_60,12823,0.33168643575544443,0.0
DOG,qwen,livecodebench,static_7_1_8,20303,0.3614143765490288,0.0
DOG,qwen,livecodebench,static_7_4_8,17016,0.3671437124162228,0.0
DOG,qwen,math500,static_3_1_4,20620,0.4102349404444553,0.0
DOG,qwen,math500,static_6_10_60,12158,0.3854856667861512,0.0
DOG,qwen,math500,static_7_1_8,19714,0.3850424349171947,0.0
DOG,qwen,math500,static_7_4_8,16586,0.3891465353924563,0.0
DOG,qwen,mtbench,static_3_1_4,26058,0.5379135495678911,0.0
DOG,qwen,mtbench,static_6_10_60,14229,0.5450524810551579,0.0
DOG,qwen,mtbench,static_7_1_8,18465,0.6108410923566475,0.0
DOG,qwen,mtbench,static_7_4_8,18114,0.6158812384499249,0.0
