signal,model,dataset,config,n,spearman_r,p_value
t,llama,livecodebench,static_3_1_4,3821,0.7230331007359918,0.0
t,llama,livecodebench,static_6_10_60,3205,0.7236188323490884,0.0
t,llama,livecodebench,static_7_1_8,3118,0.7186053417825949,0.0
t,llama,livecodebench,static_7_4_8,2882,0.701146314532316,0.0
t,llama,math500,static_3_1_4,3834,0.5500450930641949,3.4759261270655754e-302
t,llama,math500,static_6_10_60,2802,0.42194823115048746,2.2033230597617575e-121
t,llama,math500,static_7_1_8,3499,0.593070214883929,0.0
t,llama,math500,static_7_4_8,2878,0.5641678698442631,1.3845932911787054e-241
t,llama,mtbench,static_3_1_4,4580,0.5295583093944419,0.0
t,llama,mtbench,static_6_10_60,2472,0.40312092075275274,3.0290823101419477e-97
t,llama,mtbench,static_7_1_8,3696,0.5414024275169805,1.3481167258721567e-280
t,llama,mtbench,static_7_4_8,3539,0.48338964381935307,1.0882936488149868e-206
t,qwen,livecodebench,static_3_1_4,21188,0.48511627520874223,0.0
t,qwen,livecodebench,static_6_10_60,12823,0.34312170148908594,0.0
t,qwen,livecodebench,static_7_1_8,20303,0.48325600459622925,0.0
t,qwen,livecodebench,static_7_4_8,17016,0.396822801662318,0.0
t,qwen,math500,static_3_1_4,20620,0.5187936099346006,0.0
t,qwen,math500,static_6_10_60,12158,0.3957019664735403,0.0
t,qwen,math500,static_7_1_8,19714,0.5154098606254843,0.0
t,qwen,math500,static_7_4_8,16586,0.4376657251545846,0.0
t,qwen,mtbench,static_3_1_4,26058,0.5438661328303556,0.0
t,qwen,mtbench,static_6_10_60,14229,0.48438906950020455,0.0
t,qwen,mtbench,static_7_1_8,18465,0.636408939458357,0.0
t,qwen,mtbench,static_7_4_8,18114,0.6002547283485403,0.0
