model,dataset,policy_cheap_threshold,policy_premium_threshold,use_ideal_switching,expected_tput_tok_s,variant,gain_vs_global_pct
llama,livecodebench,0.3,0.95,False,158.93013594503748,v6_current_global,0.0
llama,math500,0.3,0.95,False,177.4162444039702,v6_current_global,0.0
llama,mtbench,0.3,0.95,False,184.40286954130184,v6_current_global,0.0
qwen,livecodebench,0.3,0.95,False,122.12641997306274,v6_current_global,0.0
qwen,math500,0.3,0.95,False,126.58228110877826,v6_current_global,0.0
qwen,mtbench,0.3,0.95,False,177.11551730475944,v6_current_global,0.0
llama,livecodebench,0.8155083656311035,0.33922699093818665,False,162.01284417619354,per_model_llama,1.9396624893230685
llama,math500,0.8155083656311035,0.33922699093818665,False,170.8208172948183,per_model_llama,-3.717487725720514
llama,mtbench,0.8155083656311035,0.33922699093818665,False,187.17916228029105,per_model_llama,1.5055583169042874
qwen,livecodebench,,0.35380876064300537,False,142.33298159912388,per_model_qwen,16.545610385138687
qwen,math500,,0.35380876064300537,False,149.84051507033544,per_model_qwen,18.374004448197812
qwen,mtbench,,0.35380876064300537,False,204.0261934329561,per_model_qwen,15.193855703728065
llama,livecodebench,,,True,163.1408316225509,ideal_per_decile,2.6494004126250914
llama,math500,,,True,192.88421581235917,ideal_per_decile,8.718464005567018
llama,mtbench,,,True,203.36188218408896,ideal_per_decile,10.281300225938583
qwen,livecodebench,,,True,143.97651082200215,ideal_per_decile,17.891370969327404
qwen,math500,,,True,149.84051507033544,ideal_per_decile,18.374004448197812
qwen,mtbench,,,True,214.13972066512918,ideal_per_decile,20.903986236656415
